0,0,350,256
1020,0,110,156
0,256,250,190
350,0,70,176
1130,0,430,186
250,346,730,100
420,0,180,256
1560,0,130,156
1060,316,310,130
600,0,140,186
1690,0,100,116
1370,316,70,40
740,0,280,186
1790,0,770,226
1440,346,90,10
1730,346,150,140
1850,406,100,230
0,556,130,720
130,66,90,330
120,956,60,50
260,606,690,10
320,606,120,100
640,596,220,170
580,656,50,130
860,656,60,110
1150,646,190,120
290,866,220,760
120,1116,490,110
510,896,310,646
820,926,70,40
850,936,40,160
890,1056,60,40
910,1056,50,100
960,1116,30,100
990,1186,100,60
1080,1216,1010,40
1660,1186,230,30
1857,1088,214,1
1883,1088,1672
2046,1087,35,157
1504,1120,383,1
1311,1095,172,3
1152,1055,160,6
1088,1021,63,4
1088,927,28,130
1089,929,212,22
1279,896,22,55
1279,896,152,25
1408,864,21,55
1408,864,185,26
1567,769,25,119
1567,769,122,26
1663,671,26,124
1662,639,90,59
1827,641,85,28
2272,0,277,1273
2052,1088,393,133
1791,193,90,161
2080,254,25,27
130,629,126,40
130,629,85,321
1346,446,26,67
1346,515,112,2
